Name,description,image,link
.NET,Microsoft 개발 플랫폼,https://img.stackshare.io/service/1014/IoPy1dce_400x400.png,http://www.microsoft.com/net
1Password,비밀번호 관리자,https://img.stackshare.io/service/7122/default_4c08dc440c2a2140adb7dc1a9e79086991a1c2d2.png,https://1password.com/developers
Acquia,Drupal 클라우드,https://img.stackshare.io/service/8246/uXDAUlXc_400x400.jpg,https://www.acquia.com
ActionScript,Flash 프로그래밍 언어,https://img.stackshare.io/service/2329/8ei_UuLc_400x400.png,http://www.adobe.com/devnet/actionscript.html
ActiveMQ,오픈소스 메시지 브로커,https://img.stackshare.io/service/1062/default_08edb6f82e2c79424efc1e297ab096e50acd8e0b.jpg,http://activemq.apache.org
AdonisJS,Node.js MVC 프레임워크,https://img.stackshare.io/service/6439/AlIKY7xr_400x400.jpg,https://adonisjs.com
AdRoll,리타게팅 플랫폼,https://img.stackshare.io/service/149/default_82da11a786eef101424725a9ebdf71ae769f59b2.jpg,http://www.adroll.com
Aerospike,NoSQL 데이터베이스,https://img.stackshare.io/service/2123/KhRG5ia4_400x400.jpg,http://www.aerospike.com
Airbrake,에러 및 성능 모니터링,https://img.stackshare.io/service/194/default_2e86c2914d7024c92debaced975586491c2fb0f1.jpg,https://airbrake.io
Airflow,워크플로우 관리 플랫폼,https://img.stackshare.io/service/3130/airflow.png,http://airbnb.io/projects/airflow
Airtable,클라우드 협업 서비스,https://img.stackshare.io/service/1512/logo.png,https://airtable.com
Akamai,CDN 및 클라우드 서비스,https://img.stackshare.io/service/12/default_05272bd47547a7580e6086fe0d4d1c7f6626b349.png,http://www.akamai.com
Akka,액터 기반 동시성 툴킷,https://img.stackshare.io/service/1773/default_134640e2b486908944f19eb15610a87a7c1b70d8.png,http://akka.io
Algolia,검색 API 플랫폼,https://img.stackshare.io/service/589/default_452afb716f8f4b904f267638e5c6b9172f9fa06d.png,https://www.algolia.com
Alpine Linux,보안 중심 경량 Linux,https://img.stackshare.io/service/6429/alpine_linux.png,https://www.alpinelinux.org
Amazon API Gateway,API 생성 및 관리 서비스,https://img.stackshare.io/service/3299/aws-api-gateway.png,http://aws.amazon.com/api-gateway
Amazon Athena,서버리스 대화형 쿼리 서비스,https://img.stackshare.io/service/6091/amazon-athena.png,https://aws.amazon.com/athena
Amazon Aurora,MySQL/PostgreSQL 호환 클라우드 데이터베이스,https://img.stackshare.io/service/1924/default_437b69de1bb8ef0ec297028e3caf75d539536eed.png,http://aws.amazon.com/rds/aurora
Amazon CloudFront,AWS CDN,https://img.stackshare.io/service/13/amazon-cloudfront.png,http://aws.amazon.com/cloudfront
Amazon CloudWatch,AWS 모니터링 서비스,https://img.stackshare.io/service/401/amazon-cloudwatch.png,http://aws.amazon.com/cloudwatch
Amazon Cognito,사용자 인증 및 권한 부여,https://img.stackshare.io/service/1093/16ffae8c667bdbc6a4969f6f02090652.png,https://aws.amazon.com/cognito
Amazon DynamoDB,AWS의 완전 관리형 NoSQL 데이터베이스,https://img.stackshare.io/service/389/amazon-dynamodb.png,http://aws.amazon.com/dynamodb
Amazon EBS,AWS 블록 스토리지,https://img.stackshare.io/service/231/amazon-ebs.png,http://aws.amazon.com/ebs
Amazon EC2,AWS 가상 서버 인스턴스,https://img.stackshare.io/service/18/amazon-ec2.png,http://aws.amazon.com/ec2
Amazon ECR,AWS 컨테이너 레지스트리,https://img.stackshare.io/service/9251/default_646bca6126ebc8024fdd8921ec54a8a1ba3c510c.png,https://aws.amazon.com/ecr
Amazon EKS,AWS 관리형 Kubernetes,https://img.stackshare.io/service/7991/amazon-eks.png,https://aws.amazon.com/eks
Amazon ElastiCache,AWS 인메모리 캐싱 서비스,https://img.stackshare.io/service/392/amazon-elasticache.png,http://aws.amazon.com/elasticache
Amazon EMR,AWS 빅데이터 플랫폼,https://img.stackshare.io/service/385/amazon-emr.png,http://aws.amazon.com/elasticmapreduce
Amazon Kinesis,실시간 스트리밍 데이터 처리,https://img.stackshare.io/service/433/default_6bea44ee4da746fbb7c9070a7ffac9b764d1ed79.png,http://aws.amazon.com/kinesis
Amazon LightSail,간단한 가상 서버,https://img.stackshare.io/service/6094/amazon-lightsail.png,https://amazonlightsail.com
Amazon Quicksight,AWS 비즈니스 인텔리전스 서비스,https://img.stackshare.io/service/6040/default_62842e23af488fc2d044ef26c5a32ae577261b56.png,https://aws.amazon.com/quicksight
Amazon RDS,AWS 관리형 관계형 데이터베이스 서비스,https://img.stackshare.io/service/232/amazon-rds.png,http://aws.amazon.com/rds
Amazon Redshift,AWS 데이터 웨어하우스,https://img.stackshare.io/service/386/amazon-redshift.png,http://aws.amazon.com/redshift
Amazon Route 53,AWS DNS 서비스,https://img.stackshare.io/service/38/amazon-route-53.png,http://aws.amazon.com/route53
Amazon S3,AWS 객체 스토리지,https://img.stackshare.io/service/25/amazon-s3.png,http://aws.amazon.com/s3
Amazon SageMaker,AWS 머신러닝 플랫폼 및 데이터 관리,https://img.stackshare.io/service/7967/amazon-sagemaker.jpg,https://aws.amazon.com/sagemaker
Amazon SES,AWS 이메일 서비스,https://img.stackshare.io/service/17/amazon-ses.png,http://aws.amazon.com/ses
Amazon SNS,AWS 알림 서비스,https://img.stackshare.io/service/396/amazon-sns.png,http://aws.amazon.com/sns
Amazon SQS,AWS 메시지 큐 서비스,https://img.stackshare.io/service/395/amazon-sqs.png,http://aws.amazon.com/sqs
Amazon VPC,AWS 가상 사설 클라우드,https://img.stackshare.io/service/388/amazon-vpc.png,http://aws.amazon.com/vpc
Anaconda,데이터 과학 플랫폼,https://img.stackshare.io/service/4168/default_e178e145a73f964f6c6b903800bc0a1152f4be27.jpg,https://www.anaconda.com
Android OS,Google 모바일 운영체제,https://img.stackshare.io/service/9586/ZvmtaSXW_400x400.jpg,https://www.android.com
Android Room,Android 로컬 데이터베이스 라이브러리,https://img.stackshare.io/service/9379/default_1260099b6d4bb9f2e689ef62460fa4655cc59c10.png,https://developer.android.com/training/data-storage/room
Android SDK,Android 애플리케이션 개발 킷,https://img.stackshare.io/service/1010/m8jf0po4imu8t5eemjdd.png,http://developer.android.com
Android Studio,Android 공식 IDE,https://img.stackshare.io/service/1447/AyreX9yf.jpeg,https://developer.android.com/sdk/installing/studio.html
Angular,TypeScript 기반 웹 애플리케이션 프레임워크,https://img.stackshare.io/service/3745/cb8U-gL6_400x400.jpg,https://angular.io
Animate.css,CSS 애니메이션 라이브러리,https://img.stackshare.io/service/9195/default_5aa00f79c6648507ba5f6c66c130a832332e5adc.png,https://animate.style
Ansible,IT 자동화 도구,https://img.stackshare.io/service/663/ElOjna20.png,http://www.ansible.com
Ant Design,엔터프라이즈급 UI 디자인 시스템,https://img.stackshare.io/service/6112/12101536.png,https://ant.design
Apache Beam,통합 배치 및 스트리밍 모델,https://img.stackshare.io/service/5286/FILKflMC_400x400.png,http://beam.incubator.apache.org
Apache Camel,통합 프레임워크,https://img.stackshare.io/service/3276/xWt1RFo6_400x400.jpg,https://camel.apache.org
Apache Cordova,하이브리드 모바일 앱 프레임워크,https://img.stackshare.io/service/1716/cordova_256.png,http://cordova.apache.org
Apache Flink,스트림 처리 프레임워크,https://img.stackshare.io/service/2968/kQB_QIB_.png,https://flink.apache.org
Apache FreeMarker,Java 템플릿 엔진,https://img.stackshare.io/service/4456/ymCgaIO0_400x400.jpg,http://freemarker.incubator.apache.org/index.html
Apache Hive,데이터 웨어하우스 인프라,https://img.stackshare.io/service/1911/27eb4217dfd5cb2d579cb56bbcc7b290_400x400.jpeg,https://hive.apache.org
Apache HTTP Server,오픈소스 웹 서버,https://img.stackshare.io/service/1051/default_9e444e0d6cc9f4f55f1b86979900673af4de46aa.png,https://httpd.apache.org
Apache JMeter,부하 테스트 도구,https://img.stackshare.io/service/5839/8mAJQD05_400x400.jpg,http://jmeter.apache.org
Apache Maven,Java 빌드 및 의존성 관리 도구,https://img.stackshare.io/package_manager/977/default_9833f2ef0bbc2a946b4cc5e9307264033361076b.png,http://maven.apache.org
Apache Mesos,클러스터 관리자,https://img.stackshare.io/service/914/d64b637225a3e671799940d5fe13c76b.png,http://mesos.apache.org
Apache NiFi,데이터 흐름 자동화,https://img.stackshare.io/service/8447/qpL7Veso_400x400.jpg,https://nifi.apache.org
